SUB,SEX,DAY,SUCCESS,P_errors,NC_errors
1,M,1,3,0,0
2,F,1,0,0,3
3,M,1,2,0,1
4,F,1,0,0,3
6,F,1,0,5,1
7,M,1,1,3,0
8,F,1,1,5,0
9,M,1,3,2,0
10,F,1,3,0,0
11,M,1,3,1,0
12,F,1,2,1,1
14,F,1,0,1,2
15,M,1,1,3,0
16,F,1,1,5,0
17,M,1,3,3,0
18,F,1,2,2,0
19,M,1,3,2,0
20,F,1,3,0,0
21,M,1,0,3,2
22,F,1,2,1,1
23,M,1,2,2,0
1,M,2,1,1,1
2,F,2,0,0,3
3,M,2,2,0,1
4,F,2,3,1,0
6,F,2,2,2,0
7,M,2,2,1,0
8,F,2,0,3,1
9,M,2,2,0,1
10,F,2,0,1,2
11,M,2,1,0,2
12,F,2,2,0,1
14,F,2,0,1,2
15,M,2,0,1,2
16,F,2,0,2,1
17,M,2,3,1,0
18,F,2,2,1,0
19,M,2,3,2,0
20,F,2,1,2,1
21,M,2,0,1,2
22,F,2,0,1,2
23,M,2,0,1,2
1,M,3,2,2,0
2,F,3,1,2,1
3,M,3,2,2,0
4,F,3,1,6,0
6,F,3,0,2,1
7,M,3,1,3,1
8,F,3,2,1,1
9,M,3,0,0,3
10,F,3,0,0,3
11,M,3,1,0,2
12,F,3,1,0,2
14,F,3,1,1,1
15,M,3,0,0,3
16,F,3,1,1,1
17,M,3,3,0,0
18,F,3,2,2,0
19,M,3,2,1,1
20,F,3,0,2,1
21,M,3,1,1,1
22,F,3,1,4,0
23,M,3,0,3,1
1,M,4,2,2,0
2,F,4,1,1,2
3,M,4,1,5,0
4,F,4,2,3,0
6,F,4,1,3,0
7,M,4,1,4,0
8,F,4,3,0,0
9,M,4,0,2,2
10,F,4,1,0,2
11,M,4,3,2,0
12,F,4,2,2,0
14,F,4,2,2,0
15,M,4,1,0,2
16,F,4,1,3,1
17,M,4,1,3,0
18,F,4,3,0,0
19,M,4,1,6,0
20,F,4,2,1,1
21,M,4,2,2,0
22,F,4,0,7,0
23,M,4,2,4,0
1,M,5,2,0,1
2,F,5,1,0,2
3,M,5,2,0,1
4,F,5,2,2,0
6,F,5,1,2,1
7,M,5,0,2,1
8,F,5,1,3,0
9,M,5,1,0,2
10,F,5,0,0,3
11,M,5,2,0,1
12,F,5,1,1,1
14,F,5,1,1,1
15,M,5,2,0,1
16,F,5,0,4,1
17,M,5,2,1,0
18,F,5,1,3,0
19,M,5,2,3,0
20,F,5,1,0,2
21,M,5,2,1,0
22,F,5,3,0,0
23,M,5,1,1,1
1,M,6,3,1,0
2,F,6,2,2,0
3,M,6,1,0,2
4,F,6,3,0,0
6,F,6,1,1,2
7,M,6,1,5,0
8,F,6,1,2,0
9,M,6,2,1,0
10,F,6,0,1,2
11,M,6,2,0,1
12,F,6,0,2,1
14,F,6,0,2,1
15,M,6,0,0,3
16,F,6,1,0,2
17,M,6,1,2,1
18,F,6,2,2,0
19,M,6,1,4,0
20,F,6,3,0,0
21,M,6,1,1,1
22,F,6,2,1,1
23,M,6,0,2,1
1,M,7,2,2,0
2,F,7,1,1,1
3,M,7,3,0,0
4,F,7,2,1,0
6,F,7,1,0,2
7,M,7,3,0,0
8,F,7,1,1,1
9,M,7,1,0,2
10,F,7,2,0,1
11,M,7,1,2,2
12,F,7,1,1,1
14,F,7,2,1,0
15,M,7,2,0,1
16,F,7,0,2,2
17,M,7,0,2,1
18,F,7,1,3,0
19,M,7,1,1,2
20,F,7,2,1,0
21,M,7,0,1,2
22,F,7,2,0,1
23,M,7,1,3,0
1,M,8,3,1,0
2,F,8,1,4,0
3,M,8,3,0,0
4,F,8,3,0,0
6,F,8,0,0,3
7,M,8,1,2,1
8,F,8,1,0,2
9,M,8,2,1,1
10,F,8,2,0,1
11,M,8,1,1,1
12,F,8,3,0,0
14,F,8,2,1,1
15,M,8,1,0,2
16,F,8,1,6,0
17,M,8,2,4,0
18,F,8,3,1,0
19,M,8,2,1,0
20,F,8,1,7,0
21,M,8,2,3,0
22,F,8,3,2,0
23,M,8,3,5,0
1,M,9,3,1,0
2,F,9,2,4,0
3,M,9,3,1,0
4,F,9,3,0,0
6,F,9,2,3,0
7,M,9,3,3,0
8,F,9,2,5,0
9,M,9,3,0,0
10,F,9,2,2,0
11,M,9,3,1,0
12,F,9,3,1,0
14,F,9,2,3,0
15,M,9,2,3,0
16,F,9,2,2,0
17,M,9,3,0,0
18,F,9,3,1,0
19,M,9,3,0,0
20,F,9,3,0,0
21,M,9,2,2,0
22,F,9,2,3,0
23,M,9,3,1,0
1,M,10,3,0,0
2,F,10,3,2,0
3,M,10,3,1,0
4,F,10,3,3,0
6,F,10,2,3,0
7,M,10,3,0,0
8,F,10,3,1,0
9,M,10,2,0,1
10,F,10,3,3,0
11,M,10,2,8,0
12,F,10,1,0,2
14,F,10,3,0,0
15,M,10,3,0,0
16,F,10,3,3,0
17,M,10,2,7,0
18,F,10,3,2,0
19,M,10,2,3,0
20,F,10,2,8,0
21,M,10,1,7,0
22,F,10,3,6,0
23,M,10,2,5,0