SUB,SEX,CUE,DAY,SUCCESS,P_errors,NC_errors
2,F,R,1,0,0,3
4,F,R,1,0,0,3
6,F,Y,1,0,5,1
8,F,Y,1,1,5,0
10,F,R,1,3,0,0
12,F,R,1,2,1,1
14,F,Y,1,0,1,2
16,F,Y,1,1,5,0
18,F,R,1,2,2,0
20,F,R,1,3,0,0
22,F,Y,1,2,1,1
24,F,Y,1,0,2,1
2,F,R,2,0,0,3
4,F,R,2,3,1,0
6,F,Y,2,2,2,0
8,F,Y,2,0,3,1
10,F,R,2,0,1,2
12,F,R,2,2,0,1
14,F,Y,2,0,1,2
16,F,Y,2,0,2,1
18,F,R,2,2,1,0
20,F,R,2,1,2,1
22,F,Y,2,0,1,2
24,F,Y,2,0,0,3
2,F,R,3,1,2,1
4,F,R,3,1,6,0
6,F,Y,3,0,2,1
8,F,Y,3,2,1,1
10,F,R,3,0,0,3
12,F,R,3,1,0,2
14,F,Y,3,1,1,1
16,F,Y,3,1,1,1
18,F,R,3,2,2,0
20,F,R,3,0,2,1
22,F,Y,3,1,4,0
24,F,Y,3,1,0,2
2,F,R,4,1,1,2
4,F,R,4,2,3,0
6,F,Y,4,1,3,0
8,F,Y,4,3,0,0
10,F,R,4,1,0,2
12,F,R,4,2,2,0
14,F,Y,4,2,2,0
16,F,Y,4,1,3,1
18,F,R,4,3,0,0
20,F,R,4,2,1,1
22,F,Y,4,0,7,0
24,F,Y,4,0,5,1
2,F,R,5,1,0,2
4,F,R,5,2,2,0
6,F,Y,5,1,2,1
8,F,Y,5,1,3,0
10,F,R,5,0,0,3
12,F,R,5,1,1,1
14,F,Y,5,1,1,1
16,F,Y,5,0,4,1
18,F,R,5,1,3,0
20,F,R,5,1,0,2
22,F,Y,5,3,0,0
24,F,Y,5,0,0,3
2,F,R,6,2,2,0
4,F,R,6,3,0,0
6,F,Y,6,1,1,2
8,F,Y,6,1,2,0
10,F,R,6,0,1,2
12,F,R,6,0,2,1
14,F,Y,6,0,2,1
16,F,Y,6,1,0,2
18,F,R,6,2,2,0
20,F,R,6,3,0,0
22,F,Y,6,2,1,1
24,F,Y,6,1,2,1
2,F,R,7,1,1,1
4,F,R,7,2,1,0
6,F,Y,7,1,0,2
8,F,Y,7,1,1,1
10,F,R,7,2,0,1
12,F,R,7,1,1,1
14,F,Y,7,2,1,0
16,F,Y,7,0,2,2
18,F,R,7,1,3,0
20,F,R,7,2,1,0
22,F,Y,7,2,0,1
24,F,Y,7,2,3,0
2,F,R,8,1,4,0
4,F,R,8,3,0,0
6,F,Y,8,0,0,3
8,F,Y,8,1,0,2
10,F,R,8,2,0,1
12,F,R,8,3,0,0
14,F,Y,8,2,1,1
16,F,Y,8,1,6,0
18,F,R,8,3,1,0
20,F,R,8,1,7,0
22,F,Y,8,3,2,0
24,F,Y,8,1,4,0
2,F,R,9,2,4,0
4,F,R,9,3,0,0
6,F,Y,9,2,3,0
8,F,Y,9,2,5,0
10,F,R,9,2,2,0
12,F,R,9,3,1,0
14,F,Y,9,2,3,0
16,F,Y,9,2,2,0
18,F,R,9,3,1,0
20,F,R,9,3,0,0
22,F,Y,9,2,3,0
24,F,Y,9,1,4,0
2,F,R,10,3,2,0
4,F,R,10,3,3,0
6,F,Y,10,2,3,0
8,F,Y,10,3,1,0
10,F,R,10,3,3,0
12,F,R,10,1,0,2
14,F,Y,10,3,0,0
16,F,Y,10,3,3,0
18,F,R,10,3,2,0
20,F,R,10,2,8,0
22,F,Y,10,3,6,0
24,F,Y,10,1,8,0